Id,Descripcion,Fecha,TotalSi,TotalNo,TotalAbstencion,TotalDispensado,Quorum,Resultado,Tipo,TipoCode,ResultadoCode,QuorumCode
34225,Proyecto de Resolución N°,2020-09-22,117,0,28,0,Quórum Simple,Aprobado,Proyecto de Resolución,2,1,1
34226,Boletín N° 11424-17,2020-09-22,80,56,10,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34227,Boletín N° 11424-17,2020-09-22,73,64,9,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34228,Boletín N° 11424-17,2020-09-22,71,64,11,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34229,Boletín N° 11424-17,2020-09-22,56,75,15,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34230,Boletín N° 11424-17,2020-09-22,57,69,20,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34231,Boletín N° 11424-17,2020-09-22,75,66,6,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34232,Boletín N° 11424-17,2020-09-22,70,69,7,0,Quórum Calificado,Unánime,Proyecto de Ley,1,2,2
34233,Boletín N° 11424-17,2020-09-22,72,68,5,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34234,Boletín N° 11424-17,2020-09-22,72,68,6,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34235,Boletín N° 13381-14,2020-09-22,24,100,18,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34236,Boletín N° 12906-11,2020-09-22,144,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34237,Boletín N° 13684-03,2020-09-22,138,0,2,1,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34243,Boletín N° 13655-05,2020-09-23,121,3,14,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34244,Boletín N° 13655-05,2020-09-23,79,61,2,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34245,Boletín N° 13655-05,2020-09-23,79,64,1,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34246,Boletín N° 13655-05,2020-09-23,137,7,2,0,Ley Orgánica Constitucional,Aprobado,Proyecto de Ley,1,1,5
34247,Boletín N° 13655-05,2020-09-23,72,73,1,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34248,Boletín N° 13655-05,2020-09-23,79,66,1,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
34249,Boletín N° 13655-05,2020-09-23,14,124,9,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
34250,Boletín N° 13655-05,2020-09-23,74,61,12,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
